0,1,0,5,"Great Product! Will buy again.",2021-09-10 13:12:58,2
1,3,0,4,"Works as expected but shipping wasn't great.",2021-09-11 13:17:23,0
2,2,0,5,"Love it!!",2021-09-12 13:11:36,1
3,4,0,3,"Meh... works as expected but not amazing",2021-09-13 13:19:01,5
4,4,1,3,"Dog ate it but was good while it lasted",2021-09-13 19:18:54,9
5,6,1,1,"Broke within one week...",2021-09-14 19:18:54,3
6,1,2,1,"Hate it!",2021-10-10 13:12:58,2
7,2,2,1,"Disguisting!",2021-10-11 13:17:23,0
8,3,2,2,"Who even buys this stuff?",2021-10-12 13:11:36,1
9,4,2,2,"Not worth the money tbh",2021-11-13 13:19:01,5
10,5,2,1,"Never buying again!",2021-12-13 19:18:54,9
11,6,2,1,"The seller is blackmailing me!",2021-11-13 19:18:54,3
12,7,2,1,"Will never do business with this company ever again",2021-11-13 19:18:54,3
13,8,0,4,"Decent quality for the price.",2021-11-14 10:15:22,7
14,9,0,5,"Exceeded my expectations!",2021-11-15 08:20:33,15
15,10,0,2,"Could be better.",2021-11-16 16:45:10,1
16,11,0,3,"Average product, nothing special.",2021-11-17 14:30:48,4
17,12,0,4,"Pretty good, would recommend.",2021-11-18 18:25:36,6
18,13,0,5,"Fantastic! Love it!",2021-11-19 20:40:55,20
19,14,0,2,"Not what I was expecting.",2021-11-20 13:50:05,2
20,15,0,3,"It's okay, serves the purpose.",2021-11-21 15:35:17,3
21,16,0,4,"Good value for the money.",2021-11-22 17:45:29,8
22,17,0,5,"Outstanding quality!",2021-11-23 19:55:41,11
23,18,0,2,"Two stars, just didn't like it much.",2021-11-24 12:05:53,2
24,19,0,3,"It's fine, not great though.",2021-11-25 14:16:04,5
25,20,0,4,"Very satisfied with the purchase.",2021-11-26 16:26:16,7
26,21,0,5,"This is the best I've ever used!",2021-11-27 18:36:28,19
27,22,0,2,"I regret buying this.",2021-11-28 10:46:40,1
28,23,0,3,"Mediocre, I've seen better.",2021-11-29 12:56:52,3
29,24,0,4,"Quite good, with some minor issues.",2021-11-30 15:07:03,6
30,25,0,5,"Absolutely perfect, highly recommend!",2021-12-01 17:17:15,21
31,26,0,2,"Not up to the mark.",2021-12-02 19:27:27,2
32,27,0,3,"Just about does the job.",2021-12-03 11:37:39,4
33,28,0,4,"Good product, I am happy with it.",2021-12-04 13:47:50,8
34,29,0,5,"This product is a game-changer.",2021-12-05 15:58:02,16
35,30,0,2,"Disappointed with the quality.",2021-12-06 18:08:14,2
36,31,0,3,"It's a 3-star product, nothing more.",2021-12-07 20:18:25,5
37,32,0,4,"Better than I expected.",2021-12-08 12:28:37,9
38,33,0,5,"I'm in love with this product!",2021-12-09 14:38:49,18
39,34,0,2,"Not worth the hype.",2021-12-10 16:48:50,1
40,35,0,3,"It's alright, but I had higher expectations.",2021-12-11 18:59:02,4
41,36,0,4,"Solid product, does what it says.",2021-12-12 21:09:14,7
42,37,0,5,"Five stars, without a doubt.",2021-12-13 13:19:25,22
43,38,0,2,"Below average, won't buy again.",2021-12-14 15:29:37,3
44,39,0,3,"Just okay, not great.",2021-12-15 17:39:48,5
45,40,0,4,"I'm quite happy with this.",2021-12-16 19:50:00,8