"1","10","13","4","Great service and product.","2021-03-15 10:45:00","15"
"2","12","13","5","Quick delivery, very happy.","2021-06-18 14:30:00","22"
"3","14","13","3","Product was okay, as expected.","2021-09-21 09:00:00","5"
"4","16","13","2","Delivery was late.","2020-11-30 16:15:00","8"
"5","18","13","1","Product did not meet expectations.","2020-12-25 20:45:00","3"
"6","20","13","5","Excellent quality!","2022-01-05 13:20:00","30"
"7","22","13","4","Good value for money.","2022-03-10 18:00:00","18"
"8","24","13","3","Average experience.","2022-05-19 12:30:00","10"
"9","26","13","2","Could be better.","2022-07-22 10:00:00","6"
"10","28","13","1","Very dissatisfied.","2022-08-15 14:45:00","2"
"11","30","13","4","Impressed with the product quality.","2022-09-20 09:30:00","12"
"12","32","13","5","Super fast delivery, highly satisfied.","2022-10-15 16:20:00","28"
"13","34","13","3","Product met expectations, but shipping took a while.","2022-11-25 11:15:00","7"
"14","36","13","2","Disappointed with the late delivery.","2022-12-10 14:45:00","4"
"15","38","13","1","Product did not match the description.","2023-01-05 08:30:00","2"
"16","40","13","5","Top-notch quality, worth every penny.","2023-02-15 12:10:00","35"
"17","42","13","4","Good value for the price.","2023-03-20 17:40:00","20"
"18","44","13","3","Average experience overall.","2023-04-22 14:15:00","9"
"19","46","13","2","Expected better quality.","2023-05-18 10:25:00","5"
"20","48","13","1","Extremely dissatisfied with the purchase.","2023-06-30 09:55:00","1"
"21","50","13","4","Satisfied with the product and service.","2023-07-25 15:30:00","15"
"22","52","13","5","Quick delivery and excellent product.","2023-08-10 13:20:00","27"
"23","54","13","3","Product quality was decent.","2023-09-05 11:45:00","8"
"24","56","13","2","Delivery could have been faster.","2023-10-10 10:00:00","6"
"25","58","13","1","Not what I expected, very disappointed.","2023-11-15 14:30:00","3"
"26","60","13","5","Outstanding quality and service!","2023-12-20 18:15:00","42"
"27","62","13","4","Good value for the money spent.","2024-01-25 12:50:00","19"
"28","64","13","3","Average product, nothing exceptional.","2024-02-28 10:10:00","10"
"29","66","13","2","Could be improved in many ways.","2024-03-15 09:25:00","4"
"30","68","13","1","Absolutely dissatisfied, worst experience.","2024-04-10 14:05:00","1"
"31","70","13","4","Impressed with the product quality.","2024-05-20 16:30:00","14"
"32","72","13","5","Super fast delivery, highly satisfied.","2024-06-25 13:40:00","30"
"33","74","13","3","Product met expectations, but shipping took a while.","2024-07-30 09:20:00","6"
"34","76","13","2","Disappointed with the late delivery.","2024-08-15 11:55:00","3"
"35","78","13","1","Product did not match the description.","2024-09-22 17:10:00","1"
"36","80","13","5","Top-notch quality, worth every penny.","2024-10-18 12:45:00","38"
"37","82","13","4","Good value for the price.","2024-11-12 10:00:00","18"
"38","84","13","3","Average experience overall.","2024-12-15 14:30:00","8"
"39","86","13","2","Expected better quality.","2025-01-20 16:25:00","4"
"40","88","13","1","Extremely dissatisfied with the purchase.","2025-02-25 09:15:00","1"